Language,lang code,script,BoundlessBPE,BPE,,,,BPE-dropout,,,H-Nets,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SSLM,SuperBPE,,Unigram,,,WordPiece,,
,,,v10000,v5000,v10000,v20000,v30000,v5000,v10000,v20000,best_model,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,highest_step,v10000,v25000,v5000,v10000,v20000,v5000,v10000,v20000
Finnish,fin,latn,467376,535660,464031,407864,380786,640119,576494,523147,403341,282966,539021,468274,412610,556201,489678,439369,508126,441294,390959,280104,541644,476094,423370,519098,447341,389892,515545,585994,460234,386067,519968,454459,403351,506068,438718,387951
Hungarian,hun,latn,447873,516067,451930,403188,380788,644220,582296,534629,387702,302199,520404,455915,407462,527431,468253,425672,499347,438010,393793,300736,515408,453331,406711,499064,433399,382327,476249,560112,453108,383022,506320,444768,400030,497188,435675,391051
Malayalam,mal,mlym,465135,469596,400622,350757,328520,645853,581652,528330,1094541,254206,479499,410228,360630,480741,421104,380763,480660,408417,357427,254243,489948,422523,372816,450983,381787,330500,739908,650805,488047,420537,457834,393451,349333,472784,399787,348593
Tamil,tam,taml,391865,439498,378852,336419,317955,582372,523572,477901,1034662,252699,446293,384631,342024,448836,396404,361962,446337,382026,337627,252734,453577,395270,351046,418603,357658,313037,600083,587142,438034,372270,426515,371892,334363,442851,378421,334333
Telugu,tel,telu,441077,494611,416116,361862,339528,640826,572409,518237,974966,270459,497900,419469,365456,494737,427160,386880,513326,425585,368020,270356,537609,462925,406710,472169,397081,342168,631432,602997,496050,419440,481431,408192,361003,512032,423874,365469
Kyrgyz,kir,cyrl,431472,503970,430094,380623,360749,664849,589717,536227,745661,287315,506002,431616,382497,503802,445623,410245,480322,412913,369975,285993,513987,443018,393249,477277,402154,349698,848707,599762,476031,393530,480778,418892,377935,479446,411940,369013
Turkish,tur,latn,423240,494735,428458,381100,359984,623959,559989,508970,398430,277495,498287,431784,384487,495102,439153,400872,466850,408640,368170,275808,500037,437062,390178,468174,399636,349362,475568,551405,442787,366087,475602,419138,377665,465610,406741,366232
Mongolian,mon,cyrl,435141,540556,455246,406671,388049,689359,599832,533725,679766,322952,542777,457393,409051,545445,463301,421199,552501,438651,391919,321050,555718,470120,417637,481870,420785,377364,1616989,562219,492025,405180,534855,451333,406476,554826,437859,390719
Indonesian,ind,latn,474192,547314,471766,423447,404897,739143,655651,585117,451777,336961,548060,472409,424199,542117,483842,449867,515103,448688,412007,336309,556838,481089,431558,527597,449480,396800,532934,650735,506310,416569,526773,462138,421140,515413,448665,411596
Sanskrit,san,deva,573862,674159,578289,515235,487162,754244,661513,597635,963273,381997,689947,595827,534230,691821,600224,540548,729297,597044,528320,381929,674770,579179,517048,627835,556993,500970,781019,635394,613441,537225,653269,565507,507175,723128,584712,514099
Hindi,hin,deva,412659,500609,447525,415301,403670,619486,565909,527327,886917,362745,501271,448292,416423,491565,448797,428053,498834,444977,413852,362811,518029,466042,430300,475423,423316,390587,826335,512209,485689,417745,486628,439879,414539,498637,444628,413328
Sindhi,snd,arab,477389,585148,508021,468620,453903,669479,594884,547814,607127,404066,586781,510136,470935,585081,514637,479809,617188,510598,466513,403985,592006,516799,476941,537897,480941,444893,561353,516516,506175,430280,576810,503840,467695,618900,509690,465003
Croatian,hrv,latn,510030,609341,537358,479641,454352,731220,666042,608836,370840,343137,613876,543446,486925,647729,581694,527781,570507,502642,452394,342211,614869,543516,486953,550464,481148,426020,1586016,653187,493878,418035,623597,548392,492390,568066,498956,448316
Russian,rus,cyrl,482437,564351,487104,428784,402672,697902,628709,570582,699539,313862,567909,490299,432227,583527,514443,465372,541758,467963,413926,312080,565734,490510,434029,544893,466393,406100,765177,623877,493905,409107,558628,486596,433090,541337,467001,412369
Persian,fas,arab,438619,513869,465490,440783,432549,618950,567474,531594,642304,389027,515171,466931,442746,510113,470956,454641,515491,461701,434446,389085,541803,491205,462383,489834,442527,413835,631316,523665,430118,364194,502273,461135,440083,515569,460945,433559
English,eng,latn,445205,546402,484093,442950,426547,661690,600164,554459,376511,,,,,,,,,,,,545564,484801,444666,507094,445467,403346,521441,582284,447502,377729,535986,477019,441723,514375,457112,426773
Swedish,swe,latn,432849,520573,457972,415325,396897,625751,566017,518554,390230,342924,523867,461407,419490,525958,465937,427570,499620,439572,401202,341348,524996,464341,421731,502489,445431,402562,485156,544835,442951,373476,505652,448379,409666,498745,437647,399192
Hebrew,heb,hebr,433370,493529,435642,392592,373364,560504,504601,462430,507784,310448,495963,438428,395934,513277,454967,414549,492941,433866,390977,310431,496774,441379,398974,474513,419689,375748,465538,477122,459624,395781,493460,437173,395249,492226,432067,389417
