Language,lang code,script,BoundlessBPE,BPE,,,,BPE-dropout,,,H-Nets,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SSLM,SuperBPE,,Unigram,,,WordPiece,,
,,,v10000,v5000,v10000,v20000,v30000,v5000,v10000,v20000,best_model,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,highest_step,v10000,v25000,v5000,v10000,v20000,v5000,v10000,v20000
Finnish,fin,latn,115.06841798015178,199.32128883774453,111.8472,57.92877231246054,39.42432859399684,190.3731377492551,112.14780731651898,61.8934539587415,13.088185917447104,13.580050496876314,196.14216701173223,109.2137206148282,56.831656720659275,143.0909290577641,83.06403727381081,46.38648257432357,192.3508227999046,105.89305816135085,54.75386430678466,13.106592573882294,212.25469293163383,119.1481524789523,62.11989231229435,206.59860892977338,116.04170848667336,59.74871537086685,102.39764892053803,50.27311748834928,120.4996263478168,49.92412091301666,162.87133729896453,92.32682819866243,50.20485190409027,196.52717261192242,108.2219728292971,56.0092204526404
Hungarian,hun,latn,102.3875234082397,167.47288252942533,95.6903454587051,51.27634402366178,36.101135947233416,158.74994248907294,95.03593696859767,54.3063526386535,13.469990137930077,15.384228726922277,166.71602339181285,94.65370051635112,50.82245976877941,135.23487544483984,78.51532798593561,44.74017831463906,165.8116883116883,92.96117883773228,48.956547690103854,15.090643274853802,175.09388038942976,99.4918070620817,53.13301886792453,179.65427927927928,102.30246569229053,53.949326024945464,92.47546608715544,48.381461329187715,124.5631156930126,54.56757781041262,147.40761478163495,84.80017791615701,46.82028551692378,166.82907004542196,93.52714825306893,49.4025974025974
Malayalam,mal,mlym,108.64976326937453,187.7849988871578,103.01502098519991,52.60083822296731,36.101748621053865,179.79583702391497,104.11101389040796,57.96742081447964,21.679036618333743,15.316971279373368,191.03221288515405,106.4201905204461,55.266863905325444,156.42580499887413,88.62297463403732,48.28379784896496,200.43155847313398,109.28981691994736,55.718219062537656,15.315763013380773,196.28679750223014,107.30076522124875,55.244951066357416,186.73607227360722,102.32283379918297,51.98728399087056,68.14630888780961,80.6667097107438,109.41415907104508,48.27703329553654,164.00284837861525,91.49097199697265,48.41872713161104,196.11207097828625,104.85266386459162,53.08330952516999
Tamil,tam,taml,102.97007710898838,176.48125836680055,94.92722875673299,48.722848331931594,34.190176675613955,170.23368841544607,97.5092218705664,54.39743223965763,25.866929345392673,17.10791063338367,179.8513888888889,96.57125084822438,49.922210672210674,146.43643306379155,81.59340296866411,45.07433056325023,181.48529411764707,97.05379229871646,49.70065305642172,17.1257920362836,184.5824569254867,99.2280701754386,50.86104835065522,178.01654135338345,96.57266325224072,49.1868268658332,79.25084703224996,71.20325971418448,115.76502795899347,50.165991516942285,154.0280026252461,85.33682845097827,45.808802836719764,180.0303525566192,95.58069262109552,48.657823869821804
Telugu,tel,telu,103.09455914223794,174.6437558247903,97.98155107618722,51.29620647843409,35.755769935279034,166.96574074074073,98.46594097183257,55.58978060046189,19.950093193649977,16.623267534649308,175.54495977283483,98.781387283237,51.82380198252097,143.54690305206464,82.62085255987695,45.655596204412944,191.55940594059405,104.25524942347373,53.655961364322366,16.647486702966344,180.15949779121135,100.84217702533803,52.87419168591224,176.72819606977257,99.25046443011692,51.6831145816027,89.14530332681018,72.12161342498989,112.2182390698801,49.58768346194583,149.00804828973844,85.73189354275742,46.46232030548068,191.08891186353063,103.47250119560019,52.834359460099456
Kyrgyz,kir,cyrl,103.1083410997204,179.14692687303724,98.42300865320613,50.83689430433551,35.534021699673296,175.4386550879537,102.38191559151542,57.11749066636497,20.048680083638263,18.247789987243472,179.5615349682107,98.57182783678033,51.06909755958164,149.57952824064054,82.31881720430107,44.97944349801249,174.45189367207715,94.70212765957447,48.90359101362109,17.895420655578594,188.49556918882072,102.81501521812648,53.47368727781339,183.83975048397505,100.28370519192133,50.92721855713982,45.307003626473254,57.61056,123.92802269235315,54.27284761717984,160.33704258506313,88.01590351158075,46.833656886127905,173.9981369352585,94.1959081037833,48.40936318697296
Turkish,tur,latn,104.9139859333564,174.17713401149933,97.12315974511097,50.83008325417668,35.57930245403614,167.4275649493615,98.1146828844483,54.96077332586159,16.050359712230215,15.7996134637096,176.6138838475499,97.96700592774857,51.34250625426427,146.0694955618099,82.48017526985144,45.11333370171852,174.56767822736032,95.38901411792621,49.17190750757891,15.393434627649597,181.21167073441313,100.60002212878956,52.96216861986574,184.69801553062985,102.37018871947969,52.617420184272554,92.53143299082974,50.372832369942195,120.89020210377024,52.05349672720114,154.17174515235456,86.36153519932147,46.38482961992136,173.63740185581727,94.57937806873977,48.62588496869697
Mongolian,mon,cyrl,102.9551957413774,224.15453980099502,112.81586330017852,55.57910250240616,38.6379571886061,202.7608830845771,109.54127508255017,58.89385065885798,17.709056366936373,19.396850536223358,223.7356177302735,112.06102564102564,55.50651475668141,196.19871794871796,99.89581777445855,51.5256510494978,279.50023551577954,121.7832083958021,55.73644272911624,18.75991364117025,234.70707385478343,118.58293532980508,59.10137446358604,184.62237302977232,101.50521785906402,52.65064765429411,46.245714285714286,45.89276123411112,141.43390336590662,56.98410353085036,205.7932706880873,104.4738288569644,52.68404064554692,280.4313539192399,122.1545929798357,55.206385037084814
Indonesian,ind,latn,102.37516005121638,164.4617067833698,93.6648865153538,50.42035450170208,36.61864773612674,162.6880277116259,99.13435263500325,57.87671863314733,18.51646888340579,20.792372561359347,164.26567295046033,93.33233333333334,50.32851603806838,145.84880977911217,82.85214386002808,47.21594939702057,165.03758515386423,91.74171551621008,49.382281085251385,20.564980777872087,169.36226497595104,95.7243063263041,51.384353541874525,173.52815410668924,97.92996932190839,51.39695398574206,89.03630580234726,46.77324071669696,128.0568869828456,59.40297056440724,151.38191603875134,85.70526543410098,47.889200725019,165.1822660098522,91.78978835346167,49.52716271884655
