Language,lang code,script,BoundlessBPE,BPE,,,,BPE-dropout,,,H-Nets,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SSLM,SuperBPE,,Unigram,,,WordPiece,,
,,,v10000,v5000,v10000,v20000,v30000,v5000,v10000,v20000,best_model,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,highest_step,v10000,v25000,v5000,v10000,v20000,v5000,v10000,v20000
Finnish,fin,latn,2.1287325329300955,2.3673801305537263,2.0508116517211965,1.802578369802048,1.6829055938338335,2.8290426796660584,2.547848338467386,2.312078208488202,1.7809358124666081,1.250584486469525,2.382234263060897,2.0695638338776754,1.823553589343563,2.4581622596313206,2.164160041013493,1.941816526493037,1.8429660042580818,1.6005672606461114,1.418002908842955,1.2379357131176885,2.3938267621880347,2.1041247729452373,1.8711080272421519,2.2941834204722737,1.9770492382892777,1.7231500837506133,2.2784807329394035,2.5898341340098203,2.0340305921764994,1.7062452765980014,2.298028435432476,2.008507648044125,1.782632907140679,1.835501666600172,1.5912241441219248,1.4070929342681286
Hungarian,hun,latn,1.9546761867768812,2.109512831203656,1.8473417866398516,1.648100458636843,1.5565365969309755,2.6333603119711575,2.380235286423205,2.1853882062475987,1.5957375875140454,1.2353915083926776,2.127241066391975,1.8636311611442213,1.6655711704641143,2.1559651403297933,1.9140648631856048,1.7400076848241075,1.6710852163204113,1.465818430070679,1.3178444260012852,1.2294107547277797,2.106991308897955,1.8532201228037184,1.6626372548218038,2.0401769289259173,1.7717379751285678,1.5629553017357676,1.9469090582050381,2.2897415562223546,1.852323641953102,1.5658092684043563,2.069670288344411,1.8180658769283595,1.6351915892052746,1.66386003426858,1.4580042568001714,1.3086682105375884
Malayalam,mal,mlym,2.6002191376486308,2.300756963327699,1.962823056760001,1.7185125303152788,1.6095637049557825,3.164317385659342,2.8497685015065777,2.5885206143896524,5.380139696521351,1.2598987941536526,2.3492761078856472,2.009887067930722,1.7668846917028,2.3553612111413242,2.0631733666495187,1.8655250973763504,2.038076662143826,1.731754579375848,1.5155486770691995,1.260082173992774,2.428286092373877,2.094113507164204,1.8477550838343237,2.235167296931609,1.892217260503452,1.6380280224219026,3.667140810935386,3.225527464848067,2.4188643336125333,2.084270470394068,2.243129761642292,1.927689179588937,1.7115357291590112,2.0046811397557667,1.69516197421981,1.478091078697422
Tamil,tam,taml,1.89252821659527,2.0769441609012893,1.7903481909946695,1.5898217458697215,1.5025660655551776,2.7521265736645115,2.4742542815016444,2.258425957430721,4.926117427488621,1.1942635424444927,2.1090554232354166,1.8176581225662545,1.6163094022910287,2.121072927299535,1.8732940153491362,1.7105307927866622,1.7569694297703493,1.5038143899731535,1.329041324526252,1.1944289535620103,2.14361938429256,1.868058640604176,1.6590546045729084,1.9783311436052062,1.6903031276879306,1.4794228569808217,2.8360114180931406,2.7748518388990235,2.070162670018999,1.7593599062355265,2.0155901478204985,1.7574571849835545,1.58010566708253,1.7432470732725025,1.4896235996189546,1.3160747604689063
Telugu,tel,telu,1.9897462501409722,2.1128915127385812,1.777574628778429,1.5458110486475403,1.4504041146216018,2.7374963689489604,2.445230934846129,2.2138176443449584,4.289146979895297,1.1847219971176886,2.1269415443500845,1.7918980571741026,1.5611639868086051,2.1134297626574168,1.824752661346821,1.652683560309622,1.910412766701774,1.583872660486269,1.3696366566306537,1.1842708146253214,2.3549492091165147,2.0278024784374193,1.7815575870935525,2.0682950120242323,1.7393785946760465,1.4988370004687042,2.7659326555374983,2.6413756247563396,2.172903644065198,1.837320238820092,2.0565888624985047,1.7437246894383405,1.5421415511850043,1.9055969690992522,1.5775049404724246,1.3601427619752957
Kyrgyz,kir,cyrl,1.7688498245383883,1.9481769544779812,1.6625974146462148,1.471359320880752,1.394533182830282,2.570080560366155,2.279645750865908,2.072871567293419,2.8981231368372775,1.1106622649678377,1.956031976744186,1.6684809500247402,1.4786035687778327,1.9475275235032163,1.7226272575457695,1.5858679181098465,1.5211809118433222,1.307696449156944,1.1717117014403526,1.1055518617021276,1.9868992763483424,1.7125572117763483,1.5201671511627908,1.8449908770410688,1.554590858485898,1.351813767936665,3.2808131803562595,2.318476311232063,1.8401813774948104,1.5212592824533122,1.858524554675903,1.6192942850074221,1.4609684252845125,1.5184066177681501,1.304614955851987,1.1686650451614538
Turkish,tur,latn,1.864345558501969,2.091982358736696,1.8117306789687557,1.6114778152234124,1.5221890050784173,2.6384048441589742,2.3679082924931603,2.152174924204304,1.6756738569980612,1.1734396143437078,2.107001957791206,1.825794639119459,1.6257997133083288,2.0935342148326996,1.8569543872705516,1.6950835338342685,1.5569762943397234,1.3628420111791464,1.2278718266832087,1.1663058186738837,2.1145001691474965,1.8481985791610285,1.649940798376184,1.9797615020297699,1.6899357239512856,1.4773426928281461,2.0110284167794314,2.331719384303112,1.8724078146143437,1.5480674898511502,2.0110786456989906,1.7723211454135674,1.5969529495837052,1.552840810554822,1.356508717866624,1.2214084657355158
Mongolian,mon,cyrl,1.6333692433006641,1.8836607183304237,1.586383293085364,1.417115318272578,1.3522237438626203,2.4021904652386477,2.090218175355698,1.8598569193402819,2.3885548836408486,1.1253820072411498,1.891400176324437,1.5938648853019992,1.4254088392206878,1.9006972830007214,1.6144523314202481,1.4677406427827202,1.643184292078825,1.3046236482386953,1.165634628882782,1.1187541598279966,1.9364953253116168,1.6382143143383827,1.4553282387418938,1.6791592181788404,1.4662979882984692,1.3149900164128083,5.634677371581101,1.9591491823215585,1.7145878925579514,1.411954112711002,1.8637945994543001,1.5727477689383247,1.4164358071024599,1.6500990369916546,1.302268103786716,1.162065622137359
Indonesian,ind,latn,1.6520412215974414,1.7530596883457985,1.5110776573084992,1.356310757354943,1.2968946685671274,2.367492512932208,2.100065661984914,1.8741435915504236,1.4429344354447198,1.0792940535865858,1.7554491439919284,1.5131372015182332,1.358719431142999,1.736413574414247,1.5497573709581844,1.4409346423023335,1.3596309933879716,1.1843264573517573,1.0875057739768512,1.0772056821639628,1.7835652856296345,1.5409394468378148,1.3822904822152111,1.68990567095338,1.4396950721481079,1.27095978603802,1.7070002081965376,2.084319597700229,1.621722906423664,1.3342803606604634,1.6872663794622123,1.480238945564613,1.3489213817844046,1.3604492483931847,1.184265748109435,1.0864209262118754
