Language,lang code,script,BoundlessBPE,BPE,,,,BPE-dropout,,,H-Nets,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SSLM,SuperBPE,,Unigram,,,WordPiece,,
,,,v10000,v5000,v10000,v20000,v30000,v5000,v10000,v20000,best_model,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,highest_step,v10000,v25000,v5000,v10000,v20000,v5000,v10000,v20000
Finnish,fin,latn,3.6976074937523538,3.213708322443341,3.7097844756061558,4.220659337426201,4.520793831705998,2.6892734007270525,2.986076177722578,3.2905760713527936,4.805717742555307,6.083635489776157,3.193669634392723,3.676170361796726,4.17211167930976,3.0950232020438655,3.515483644354045,3.9180165191445004,3.3878703313745016,3.9009481207539647,4.403185500269849,6.145795847256733,3.178216688452194,3.6158027616395083,4.06609348796561,3.3189609669079827,3.8513483002899354,4.418828803873893,3.339111037833749,2.937685368792172,4.174563374283516,4.977998637542188,3.3106941196381316,3.787921462662198,4.267883307590659,3.401641676612629,3.923846297621707,4.437318114916574
Hungarian,hun,latn,3.4767601529897982,2.987340791021321,3.4112982098997633,3.823695149657232,4.048625481895438,2.393076899195927,2.647567560141234,2.8836221005594536,5.753106767568906,5.101466252370127,2.9624445623015965,3.381481197152978,3.7835871811359096,2.9229757067749147,3.2923825367910085,3.6217275272980136,3.087318037356788,3.5196525193488735,3.914856282361545,5.126286842945308,2.991140998975569,3.4007336802468835,3.7905490630939416,3.090140743471779,3.5583330833712123,4.033662283856489,3.2370839623810235,2.7524316565258378,3.779807463121375,4.480460652390724,3.044849107283931,3.46622958486222,3.8538809589280802,3.1007747572346878,3.538573477936535,3.9423706882222525
Malayalam,mal,mlym,3.9250841153643568,3.8316020579391648,4.491278561836345,5.1297764549246345,5.477002922196518,2.785935808922464,3.093439032273593,3.4056460924043686,18.548430803414398,7.09192544629159,3.752468722562508,4.386109675595035,4.989338102764607,3.742774175699597,4.272828089973023,4.725524801516954,3.749265593142762,4.4124558967917595,5.041930240300816,7.090893357929225,3.679594569219591,4.266773643091619,4.835656195013089,3.9989755711412625,4.7237595832231065,5.4567927382753405,2.4365326500051356,2.7701477401064833,3.841857444057642,4.466784135521964,3.930037961357173,4.573136171975672,5.150687166686228,3.8117470134353106,4.507732867752078,5.169733758279713
Tamil,tam,taml,4.3914817603001035,3.9031326649950624,4.527939670372599,5.099055047425978,5.395162837508453,2.9455725893415203,3.276376506001085,3.5894861069552064,18.55262201569208,6.792005508529911,3.84370581658238,4.4599083277218945,5.015493064814165,3.8219282766979474,4.327451287070766,4.739224006939955,3.8434299643542884,4.4904404412265135,5.080947317601969,6.791064914099409,3.783994779276727,4.342178763882916,4.889196857391909,4.101845901725501,4.800801324170017,5.485118372588544,2.8601593446239937,2.923205970616989,4.241095440079993,4.995473715314153,4.021942956285242,4.612680563174255,5.13040916608596,3.873684376912325,4.533218293910751,5.131007109678076
Telugu,tel,telu,3.7034213980778867,3.2327283461144214,3.8425415028501666,4.418654072546993,4.70931116137697,2.495128162714996,2.7933575467890965,3.085350910876684,18.472311854977505,6.015255547051494,3.2113737698333,3.8118263804953405,4.375199750448754,3.2319050323707343,3.7431945875081936,4.132917183622829,3.155935993890822,3.806581528954263,4.401999891310255,6.0175472340173695,3.0261398153676744,3.5143489766160827,4.000098350175801,3.447028500388632,4.098861441368386,4.756669238502724,2.5764927973241774,2.6980764415080007,3.596605180929342,4.2600014304787335,3.321229833558703,3.9171345837253058,4.429168178657795,3.163911630523092,3.821947088049751,4.432726168293343
Kyrgyz,kir,cyrl,4.198045296102644,3.5649483104153026,4.177289150743791,4.720227101357511,4.980268829574025,2.702308343699096,3.046591839814691,3.350497084257227,18.138501276049034,6.25299410055166,3.550632210939878,4.162558848606168,4.69710089229458,3.5661370935407164,4.031719637451388,4.379400114565686,3.7404699347521038,4.351110282311286,4.856084870599365,6.281902004594518,3.4953782877777066,4.055318294064801,4.568553257605232,3.765727240156136,4.46917101408913,5.139563280316159,2.116842443858717,2.99551322024403,4.125972888320298,5.00759281376261,3.7369159986521847,4.288998118846862,4.753798933679072,3.747304180241362,4.361387580715638,4.868744461577235
Turkish,tur,latn,3.779952272942066,3.2145552669611,3.7118060580033516,4.173059564418788,4.41784357082537,2.5488100980993944,2.83997185659004,3.124649782894866,4.7734382451120645,5.73114830897854,3.1916405605604803,3.6832142923313507,4.136298496438111,3.2121724412343315,3.621409850325513,3.967233930032529,3.413411159901467,3.8996451644479246,4.328302143031752,5.77775118923309,3.1804946433963885,3.6387629215077038,4.075998646771474,3.398336943102351,3.9811553513697464,4.554052816276527,3.3441379571375704,2.884212148964917,4.00387093568691,4.850568307533456,3.343873659067876,3.794342197557845,4.211015053023182,3.422488778161981,3.917837149439078,4.351189956093405
Mongolian,mon,cyrl,3.7997315812575696,3.020695358112758,3.586753096128247,4.015174428469205,4.207857770539287,2.3686569697356528,2.7221872124194775,3.059356410136306,17.78450231403159,5.056029998265996,3.0083349147071448,3.569916898597049,3.991812756844501,2.993619888348046,3.524393428893959,3.8766829930745326,2.955471573807106,3.722506046948485,4.166373663945866,5.085983491667965,2.9382798469727454,3.4732727814175104,3.909746981230111,3.38984165853861,3.8819420844374206,4.328613752239217,1.00981206427502,2.9045887812400504,3.682123875819318,4.486272767658818,3.0528928401155455,3.617849791617276,4.017100640628229,2.9430866614037554,3.729239321334037,4.179169684607096
Indonesian,ind,latn,4.1511244390457875,3.5505322356088094,4.119109897703522,4.589136302772248,4.799383546926749,2.6290663646953294,2.9638572960309677,3.321140900025123,4.91873424277907,5.767014580322352,3.545699375980732,4.113503341384266,4.581000898163362,3.584569382624046,4.016302842663515,4.319623355347247,3.7725852887674893,4.331005063652248,4.716594620965178,5.778195052763976,3.4898103218530343,4.039292106034434,4.502891847677485,3.6848560549055436,4.325262525585121,4.899493447580645,3.64634082269099,2.986264762153565,4.211336927969031,5.135614988153223,3.688981781526388,4.204925801384002,4.614275537825901,3.7703104112624244,4.331220398292713,4.72129709715352
