Language,lang code,script,BoundlessBPE,BPE,,,BPE-dropout,,,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SuperBPE,,Unigram,,,WordPiece,,
,,,v10000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v10000,v25000,v10000,v20000,v5000,v10000,v20000,v5000
Finnish,fin,latn,0.2696264840539754,0.2815823333655658,0.29021233270683017,0.27166895153466164,0.2716079819903353,0.27397801213398054,0.26545775768819035,0.52741673049194,0.3022660789179169,0.3071352541180453,0.2945611382965205,0.41584248303297544,0.4129357961639861,0.41971055467282753,0.4139849733264297,0.42057276915637215,0.38643448200040564,0.5284680002704485,0.24475317821384426,0.24994262703504203,0.23825277221831417,0.284213571532161,0.28924902619487797,0.2776917841759137,0.34609999158824867,0.3752780199613161,0.3768625009346945,0.44427038781402167,0.45626647069271814,0.4267457094923795,0.39349968391329565,0.40150060630021284,0.36155566894073715
Hungarian,hun,latn,0.46509650087229093,0.5046066972439205,0.4893674119506132,0.5037825390056151,0.44114387243611497,0.419694453308993,0.4409017251166318,0.5653667953667953,0.531844458071667,0.5253979979675442,0.523383812410769,0.6489938901975939,0.6272422319311766,0.6499416738612416,0.5970460170172986,0.5912863330275737,0.5860090930605704,0.5717966483349932,0.4120509710688057,0.3853039707939803,0.40722685373153905,0.5429892863723709,0.543035470916587,0.5358578344416381,0.4751082190871893,0.6016026071424961,0.6180140585061061,0.6674716842047752,0.6539978971020938,0.6526476932736475,0.5769126505741563,0.5597875301056304,0.5694895355085121
Malayalam,mal,mlym,0.3203980429921852,0.3399330181245075,0.338869992441421,0.33696856997010133,0.3308648546353464,0.3238286941185492,0.3393819471476147,0.35446009389671357,0.3468623108157992,0.3464285714285714,0.3427548555654146,0.42397827954320366,0.40157246317623674,0.4141661000136894,0.41109693877551023,0.4039874411302983,0.39981173864894787,0.36280701754385963,0.3454238628630285,0.34966039561584694,0.33648041104688503,0.32593542260208924,0.3270623512923308,0.3250470003093691,0.35906913749019015,0.3758085618085618,0.39942411294817015,0.4550952380952381,0.43794674859190985,0.4617876039304611,0.401641156462585,0.41277812435017674,0.3979248580166011
Tamil,tam,taml,0.18662518707062137,0.4068141154152924,0.3934306569343066,0.4120070752263032,0.3368504929212067,0.3348443108773687,0.3668202991273115,0.30562770562770564,0.39856418362642426,0.3813137254901961,0.40181148027809804,0.4098896701537758,0.38360360360360357,0.4422316593419255,0.4405334566759173,0.42573238321456847,0.4653143485316443,0.30701754385964913,0.2759507636145191,0.28187660204339504,0.28250932835820897,0.395525098108124,0.4010775112964894,0.38729351353969865,0.3833856018235476,0.18231179138321993,0.191357257878997,0.4697856384246916,0.4201787994891443,0.48635028737185376,0.4357705116560702,0.43092278719397364,0.44002583311805726
Telugu,tel,telu,0.10974893459329257,0.3265197948366265,0.3369911778362483,0.3150056344376831,0.3072334013856942,0.3023167327423641,0.2952820238280531,0.5517839922854387,0.33461177397971975,0.3537466895155008,0.3126513672189677,0.4484872420891378,0.4750507891858103,0.4132991264687694,0.39413698455253415,0.41894690631133147,0.3537375712496485,0.553517782952107,0.20642447161336908,0.19178650084207796,0.22384635992230925,0.30701218859113594,0.32322904887548687,0.29490643479614065,0.2928070818070818,0.21192306988154738,0.18723639785243812,0.43188814552450916,0.47151839412637664,0.39532249833156674,0.3798874420188093,0.4109698464067396,0.34658321192137614
Kyrgyz,kir,cyrl,0.3491989611707922,0.4188052329827637,0.41062694447942766,0.4172085010539448,0.3673169187174973,0.3512801833902024,0.36904800058803944,0.38154324229691877,0.42043730660751943,0.40919243622826684,0.41713949777441844,0.43218873606362757,0.37592464206368614,0.4620610248598505,0.4827392784518016,0.48360036597302003,0.46459177119788186,0.3736435211534813,0.32687049481451197,0.30473101958829835,0.3402365108679417,0.41842512170023083,0.4365486415425065,0.4164272451871396,0.35550707218900934,0.3268966619447169,0.33822801079779896,0.5272056142418381,0.4773846420047126,0.5322514733386656,0.4868898891242383,0.4842857673904847,0.4633107074194687
Turkish,tur,latn,0.46542667856390296,0.4937095217864378,0.476946840446524,0.5033807455680932,0.44728942652329745,0.43330840507051216,0.45267073680898195,0.39803317355246143,0.485199662913662,0.4651628823819296,0.49795278103836194,0.43504914966938757,0.416317532495128,0.45694624601252937,0.48511874946102207,0.45257022311037864,0.5123109931819223,0.391839386570947,0.42154716563882766,0.42588268246112015,0.42145178607701467,0.5007661064674022,0.48198838195065535,0.5143720227721622,0.4362294714044449,0.4705371198338043,0.46762141831779286,0.5271707881748334,0.5031669335689436,0.5525627186639422,0.48940124032709503,0.4647456094384636,0.5187692335991317
Indonesian,ind,latn,0.3091524749228537,0.21468438444744298,0.2294650425615272,0.2190861019938219,0.26263294761708883,0.26857668645618565,0.2652841823701901,0.8132910052910053,0.2165718951389496,0.2330399140827446,0.2260145234564414,0.7377803120994462,0.746009162472577,0.7247437769655957,0.24187859334987394,0.23974580974580972,0.22414562089011722,0.8127864479124983,0.2655214973128359,0.3064362670727791,0.2442417364267912,0.2042031092742658,0.21310899841547826,0.21689738377548462,0.37929506034508764,0.46776850666338743,0.4670703822401733,0.6994657948438519,0.739011863097132,0.68021862449689,0.24290755474966,0.24468473644253852,0.23017518052955335
Hindi,hin,deva,0.35044544168195585,0.41765907733755503,0.40239639541432753,0.4188324086050608,0.43271578893896495,0.43007047710471,0.43633880620466886,0.5724516466283324,0.42322329076400733,0.4208986698388666,0.4263524404345945,0.671138987538346,0.6792251933548364,0.632991877394636,0.5455749424451715,0.5820701968057131,0.5316023033658629,0.5731283654681257,0.27663620754049295,0.2647908310654426,0.30061362455676166,0.40919645900604323,0.3942969917910252,0.409442929218471,0.43264824647345634,0.5012758191005852,0.5052433529374991,0.6499939722724533,0.6836388808396922,0.6165545121575273,0.5414010844787683,0.5744842275245705,0.5356528017508827
