Language,lang code,script,BoundlessBPE,BPE,,,BPE-dropout,,,H-Nets,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SSLM,SuperBPE,,Unigram,,,WordPiece,,
F1-Score,,,v10000,v10000,v20000,v5000,v10000,v20000,v5000,best_model,v10000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v10000,v10000,v25000,v10000,v20000,v5000,v10000,v20000,v5000
Finnish,fin,latn,0.2696264841,0.2815823334,0.2902123327,0.2716689515,0.271607982,0.2739780121,0.2654577577,0.08481644163,0.5274167305,0.3022660789,0.3071352541,0.2945611383,0.415842483,0.4129357962,0.4197105547,0.4139849733,0.4205727692,0.386434482,0.5284680003,0.2447531782,0.249942627,0.2382527722,0.2842135715,0.2892490262,0.2776917842,0.3460999916,0.5125474073,0.37527802,0.3768625009,0.4442703878,0.4562664707,0.4267457095,0.3934996839,0.4015006063,0.3615556689
Hungarian,hun,latn,0.4650965009,0.5046066972,0.489367412,0.503782539,0.4411438724,0.4196944533,0.4409017251,0.03534302984,0.5653667954,0.5318444581,0.525397998,0.5233838124,0.6489938902,0.6272422319,0.6499416739,0.597046017,0.591286333,0.5860090931,0.5717966483,0.4120509711,0.3853039708,0.4072268537,0.5429892864,0.5430354709,0.5358578344,0.4751082191,0.5274298524,0.6016026071,0.6180140585,0.6674716842,0.6539978971,0.6526476933,0.5769126506,0.5597875301,0.5694895355
Malayalam,mal,mlym,0.320398043,0.3399330181,0.3388699924,0.33696857,0.3308648546,0.3238286941,0.3393819471,0.003898002274,0.3544600939,0.3468623108,0.3464285714,0.3427548556,0.4239782795,0.4015724632,0.4141661,0.4110969388,0.4039874411,0.3998117386,0.3628070175,0.3454238629,0.3496603956,0.336480411,0.3259354226,0.3270623513,0.3250470003,0.3590691375,0.4807956156,0.3758085618,0.3994241129,0.4550952381,0.4379467486,0.4617876039,0.4016411565,0.4127781244,0.397924858
Tamil,tam,taml,0.1866251871,0.4068141154,0.3934306569,0.4120070752,0.3368504929,0.3348443109,0.3668202991,0.04360149386,0.3056277056,0.3985641836,0.3813137255,0.4018114803,0.4098896702,0.3836036036,0.4422316593,0.4405334567,0.4257323832,0.4653143485,0.3070175439,0.2759507636,0.281876602,0.2825093284,0.3955250981,0.4010775113,0.3872935135,0.3833856018,0.3029545571,0.1823117914,0.1913572579,0.4697856384,0.4201787995,0.4863502874,0.4357705117,0.4309227872,0.4400258331
Telugu,tel,telu,0.1097489346,0.3265197948,0.3369911778,0.3150056344,0.3072334014,0.3023167327,0.2952820238,0.02167046039,0.5517839923,0.334611774,0.3537466895,0.3126513672,0.4484872421,0.4750507892,0.4132991265,0.3941369846,0.4189469063,0.3537375712,0.553517783,0.2064244716,0.1917865008,0.2238463599,0.3070121886,0.3232290489,0.2949064348,0.2928070818,0.2715284495,0.2119230699,0.1872363979,0.4318881455,0.4715183941,0.3953224983,0.379887442,0.4109698464,0.3465832119
Kyrgyz,kir,cyrl,0.3491989612,0.418805233,0.4106269445,0.4172085011,0.3673169187,0.3512801834,0.3690480006,0.01691256896,0.3815432423,0.4204373066,0.4091924362,0.4171394978,0.4321887361,0.3759246421,0.4620610249,0.4827392785,0.483600366,0.4645917712,0.3736435212,0.3268704948,0.3047310196,0.3402365109,0.4184251217,0.4365486415,0.4164272452,0.3555070722,0.5076906633,0.3268966619,0.3382280108,0.5272056142,0.477384642,0.5322514733,0.4868898891,0.4842857674,0.4633107074
Turkish,tur,latn,0.4654266786,0.4937095218,0.4769468404,0.5033807456,0.4472894265,0.4333084051,0.4526707368,,0.3980331736,0.4851996629,0.4651628824,0.497952781,0.4350491497,0.4163175325,0.456946246,0.4851187495,0.4525702231,0.5123109932,0.3918393866,0.4215471656,0.4258826825,0.4214517861,0.5007661065,0.481988382,0.5143720228,0.4362294714,0.5326967278,0.4705371198,0.4676214183,0.5271707882,0.5031669336,0.5525627187,0.4894012403,0.4647456094,0.5187692336
Indonesian,ind,latn,0.3091524749,0.2146843844,0.2294650426,0.219086102,0.2626329476,0.2685766865,0.2652841824,,0.8132910053,0.2165718951,0.2330399141,0.2260145235,0.7377803121,0.7460091625,0.724743777,0.2418785933,0.2397458097,0.2241456209,0.8127864479,0.2655214973,0.3064362671,0.2442417364,0.2042031093,0.2131089984,0.2168973838,0.3792950603,0.5214699035,0.4677685067,0.4670703822,0.6994657948,0.7390118631,0.6802186245,0.2429075547,0.2446847364,0.2301751805
Hindi,hin,deva,0.3504454417,0.4176590773,0.4023963954,0.4188324086,0.4327157889,0.4300704771,0.4363388062,0.04900808855,0.5724516466,0.4232232908,0.4208986698,0.4263524404,0.6711389875,0.6792251934,0.6329918774,0.5455749424,0.5820701968,0.5316023034,0.5731283655,0.2766362075,0.2647908311,0.3006136246,0.409196459,0.3942969918,0.4094429292,0.4326482465,0.6395095719,0.5012758191,0.5052433529,0.6499939723,0.6836388808,0.6165545122,0.5414010845,0.5744842275,0.5356528018
Sindhi,snd,arab,0.2773429435,0.2752171461,0.2592530345,0.3210913203,0.3212849682,0.3267125803,0.3525173736,0.05042749534,0.3771289538,0.314514103,0.3097270616,0.3392173483,0.5480180735,0.5578878407,0.5434709413,0.4354643766,0.3859735974,0.4292541857,0.3605947955,0.2432696854,0.1776531672,0.2647610952,0.2911220462,0.2677595628,0.331642316,0.399714451,0.545558316,0.4761288686,0.4706338349,0.4771560161,0.4433730776,0.4966277853,0.4156732892,0.3793103448,0.4248440811
Croatian,hrv,latn,0.1168884635,0.1395784285,0.1355526968,0.1402833785,0.165881549,0.1643956645,0.1648060463,0.05760070856,0.3769875241,0.148695881,0.1461512967,0.1471185595,0.5184559796,0.5371906658,0.4876219929,0.2655584776,0.2914677176,0.225791494,0.3835034923,0.09123486351,0.07269221085,0.100740916,0.1409533919,0.1301276204,0.142381044,0.3236962666,0.4715261366,0.2309698825,0.2438957623,0.4267752045,0.4599885146,0.395991607,0.2569576202,0.2728244305,0.2257712354
Russian,rus,cyrl,0.2160449851,0.191026029,0.177182994,0.1998082743,0.207916611,0.2003985829,0.2151428346,0.0170236418,0.2380780976,0.191340278,0.1803480225,0.2017490883,0.4753330794,0.4898213581,0.4477304589,0.2777303213,0.2806891031,0.2628806176,0.2397836779,0.1477123661,0.1327021039,0.1703483567,0.1986131349,0.1883482784,0.2064249431,0.2499546045,0.4473122721,0.2524152518,0.2395331059,0.3802329719,0.3862884791,0.3673384513,0.2716760517,0.2711728163,0.2642174774
Persian,fas,arab,0.4660145393,0.4132184966,0.4310919676,0.3969182424,0.38817131,0.399362549,0.384869786,,0.7401789598,0.4086068554,0.4300224014,0.3946542487,0.5051215174,0.5052335841,0.5142282675,0.6312453387,0.6614248978,0.5759614318,0.7356860554,0.3646200682,0.4002177462,0.3621129343,0.5400124895,0.5665064845,0.520393046,0.4654543059,0.5792257444,0.3936910889,0.3896535904,0.5053745885,0.4974577753,0.5146986563,0.6309342433,0.6618853148,0.5650755889
English,eng,latn,0.2881018012,0.3111482042,0.3457391764,0.3339332356,0.3152667759,0.3228866085,0.3318204885,0.08903413252,,,,,,,,,,,,0.1853926504,0.1758951745,0.2147890733,0.3695960534,0.3836820611,0.3835559886,0.3693800915,0.5068688338,0.5190324162,0.5318164486,0.7149197823,0.6996753532,0.7126819368,0.5585767199,0.5820676572,0.5439646717
