Language,lang code,script,BoundlessBPE,BPE,,,BPE-dropout,,,H-Nets,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SSLM,SuperBPE,,Unigram,,,WordPiece,,
Precision,,,v10000,v10000,v20000,v5000,v10000,v20000,v5000,best_model,v10000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v10000,v10000,v25000,v10000,v20000,v5000,v10000,v20000,v5000
Finnish,fin,latn,0.2299481818,0.2489989786,0.2646387666,0.2319622168,0.2267655516,0.2329540853,0.2156698814,0.05229329308,0.5377515705,0.2656678267,0.2753214007,0.2513991069,0.3715867815,0.3754696679,0.3683812202,0.370372948,0.3828007405,0.3356203182,0.5394485773,0.2104264659,0.2239207075,0.1971744349,0.252312671,0.2643535501,0.2379190148,0.2952957938,0.3987007048,0.3365232842,0.3490418031,0.4043136202,0.4244584002,0.3777407855,0.3556304261,0.37123868,0.3151319993
Hungarian,hun,latn,0.401980879,0.4689500143,0.4611416977,0.4536109602,0.3756774923,0.3600495684,0.3658173298,0.04412653723,0.5567367367,0.4891715736,0.4892301122,0.4681709006,0.6035197738,0.5910636451,0.5906718831,0.5511737143,0.5501896552,0.5270520978,0.5632818026,0.3644740125,0.3522780819,0.3433062036,0.5074346521,0.5168248833,0.4836463055,0.4123623275,0.4073530082,0.553866497,0.5887812806,0.6271413966,0.6217815795,0.5982611722,0.5378409434,0.5261572889,0.514458916
Malayalam,mal,mlym,0.282430099,0.3082467916,0.312536075,0.2977490945,0.2759397251,0.2730375994,0.2757655378,0.02082878953,0.3474178404,0.3129120879,0.3174394319,0.3024314798,0.3872580904,0.3746114106,0.3679497149,0.3769246032,0.3762515263,0.3567798696,0.3538011696,0.2993254428,0.3163051973,0.2780406459,0.2961558812,0.3025496235,0.285630994,0.2895284508,0.359605598,0.3361962482,0.3710663199,0.4218860029,0.4101996928,0.4182413706,0.3674900794,0.3855046094,0.3569359497
Tamil,tam,taml,0.1593588339,0.3819073487,0.375959199,0.3785870357,0.2865648528,0.2875277271,0.3071373619,0.00481603241,0.2953823954,0.3699323805,0.3578235294,0.3657801418,0.3850406829,0.3663813814,0.4074210327,0.4082485353,0.3988123515,0.4228044461,0.2972389991,0.2271331531,0.243943223,0.22203547,0.3726800601,0.3847497393,0.3561772352,0.315199375,0.2304489912,0.1445039683,0.1571698873,0.4437566378,0.4011585477,0.4530088464,0.4069482289,0.4092843691,0.402278481
Telugu,tel,telu,0.09047711692,0.2951957696,0.3146081618,0.2706795132,0.253160246,0.2542553863,0.2340965676,0.04360149386,0.5417711347,0.3004251317,0.328998546,0.267515902,0.4025640631,0.4414484406,0.3502886003,0.3546810503,0.3906814895,0.300634058,0.5435442633,0.1582337445,0.1582523643,0.1651209199,0.2744457297,0.3011961302,0.2517536181,0.2274964896,0.2057642665,0.1732575383,0.1626824228,0.3930262218,0.445421646,0.3404964734,0.3438678242,0.3849244876,0.2951254697
Kyrgyz,kir,cyrl,0.2924496302,0.3938426636,0.3901613422,0.3849242981,0.3108556587,0.2970847676,0.307883104,0.01675387327,0.3739123775,0.3953567549,0.3866449511,0.3837556689,0.3995100878,0.3540947816,0.4181996565,0.4554963133,0.4575968658,0.4302373743,0.3648572377,0.2823312977,0.2709279145,0.2788458317,0.3962898092,0.4195664622,0.3849732857,0.2583618502,0.4095938375,0.287648469,0.3170520218,0.4925855069,0.4503450434,0.4898762509,0.4606299521,0.4605728943,0.4303105505
Turkish,tur,latn,0.3931883773,0.4549843563,0.447023225,0.4514867898,0.3853240807,0.377674344,0.3818431535,,0.3850015217,0.4429646201,0.4307838403,0.4445212464,0.3873419713,0.379119768,0.3970245702,0.4459267944,0.4240948756,0.4606659126,0.3786058898,0.3590526352,0.3762276738,0.3457392136,0.4583349159,0.4487871646,0.4595934636,0.3650799879,0.4188949282,0.4156452019,0.4268206021,0.4811715405,0.4665441515,0.4943721539,0.4531806249,0.4399618486,0.4689180374
Indonesian,ind,latn,0.292628103,0.212489438,0.2287179008,0.2097604077,0.2244368166,0.2352821437,0.224064319,,0.8380416667,0.2129081521,0.2334159385,0.218732635,0.7861307252,0.8178524593,0.7299834944,0.2413618475,0.2353271849,0.2135714231,0.8403221289,0.2718900068,0.3356515936,0.2271068514,0.2023428466,0.213897307,0.2091750768,0.3476434164,0.4736605026,0.4408286134,0.4650770957,0.6723994801,0.7471323694,0.6231660845,0.2436439071,0.2412122642,0.2195530645
Hindi,hin,deva,0.3197512357,0.3915710228,0.3830059328,0.3888067515,0.3851074711,0.3867881619,0.3844652075,0.01216671462,0.5602979613,0.3961728147,0.3984923857,0.3966643709,0.6539719425,0.6696480043,0.6042557874,0.5145230739,0.5521621256,0.4949359999,0.5603699844,0.2550840745,0.2473474799,0.2641712116,0.3851580707,0.3763753748,0.3810215922,0.3429482742,0.5115051132,0.4739683576,0.4894223336,0.6261215628,0.6682173225,0.5843226237,0.5102516643,0.5480949906,0.4986909426
Sindhi,snd,arab,0.2689134148,0.2664382403,0.2496498599,0.2988920696,0.2950042928,0.3005991736,0.3167214358,0.021278826,0.3692214112,0.3034686536,0.2991745479,0.3139595253,0.5317698706,0.5426985063,0.5106225296,0.4192589059,0.3752750275,0.3963333333,0.3519206939,0.2311156574,0.1727258567,0.241172564,0.2837100825,0.2593442623,0.3148319129,0.3735171329,0.4913522013,0.461745307,0.462121903,0.4654835924,0.4329315708,0.4668405114,0.403200883,0.3681444992,0.3926294278
Croatian,hrv,latn,0.1009739691,0.1294132989,0.1268394333,0.1269402995,0.1389317751,0.1378964871,0.1365429444,0.03374036546,0.3661552993,0.1369169575,0.1358412288,0.132656318,0.494221557,0.5196030649,0.4545407997,0.2432839134,0.271011422,0.2017619377,0.3730595155,0.08254354197,0.06703977465,0.08748704628,0.1323120386,0.1236773117,0.129881655,0.2102744465,0.3599263379,0.2102825885,0.2296505906,0.4028928564,0.4405699338,0.3649983051,0.2380055725,0.2565358542,0.2031641744
