Language,lang code,script,BoundlessBPE,BPE,,,BPE-dropout,,,H-Nets,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SSLM,SuperBPE,,Unigram,,,WordPiece,,
Recall,,,v10000,v10000,v20000,v5000,v10000,v20000,v5000,best_model,v10000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v10000,v10000,v25000,v10000,v20000,v5000,v10000,v20000,v5000
Finnish,fin,latn,0.3788442137,0.3726990549,0.3638114453,0.3851960864,0.4059336161,0.3956412153,0.4204990215,0.1306752518,0.5536509854,0.4058690393,0.3962840393,0.4199731922,0.5569789872,0.5295956273,0.5874994981,0.5327740709,0.5229917936,0.5294956125,0.5540887985,0.3386749123,0.3223862485,0.3562226316,0.3733479014,0.3591056224,0.3907596874,0.4886301629,0.7173956164,0.4798328038,0.4501706243,0.5632699644,0.5528755943,0.5736356424,0.4966209755,0.4852453325,0.4902306236
Hungarian,hun,latn,0.6376442067,0.6072993542,0.5717475868,0.64682104,0.6502067992,0.6093307666,0.6877196227,0.1049398515,0.6081081081,0.6536933146,0.6275256223,0.6830844774,0.7940672154,0.7419099194,0.8359843938,0.7234055283,0.7008948885,0.7528683115,0.6136708093,0.5394373273,0.4719314938,0.5829256157,0.6452736318,0.6211753606,0.6829861787,0.6472502712,0.7478870993,0.7277358319,0.698111332,0.78794983,0.7511577424,0.8161323155,0.6870937241,0.6512843489,0.7233774099
Malayalam,mal,mlym,0.4267782427,0.4317375887,0.4134199134,0.454058193,0.521609538,0.4919484702,0.5613079019,0.1221374046,0.375,0.4490161002,0.4287280702,0.4658385093,0.542158516,0.4877358491,0.566096423,0.5107142857,0.4846153846,0.5294573643,0.3877192982,0.4710312862,0.4396248535,0.5023121387,0.4153846154,0.3973305955,0.4422788606,0.6005847953,0.7251908397,0.4884848485,0.4785435631,0.5572727273,0.5204301075,0.6031746032,0.4991071429,0.4890829694,0.5191131498
Tamil,tam,taml,0.2568671121,0.4687641467,0.4410443571,0.4970866715,0.4843228819,0.4731404959,0.5427224514,0.03012552301,0.3303030303,0.4734900876,0.4426470588,0.4957813646,0.4779911965,0.4295045045,0.5404424473,0.5215078631,0.4913895487,0.5716379626,0.3308886972,0.4044153324,0.3754106646,0.4467117537,0.4524395244,0.4449947862,0.4654120041,0.5726343319,0.4420289855,0.2773809524,0.2699275362,0.5405097861,0.4701696771,0.5794551646,0.5061307902,0.484180791,0.5338155515
Telugu,tel,telu,0.1587548638,0.4081908191,0.3938244854,0.4344827586,0.4766512411,0.4485500468,0.4883445279,0.1712538226,0.574734812,0.4243792325,0.4165757906,0.4348355664,0.5786299009,0.5625879044,0.6034902597,0.4964253798,0.4907809111,0.4971819646,0.5762224353,0.3315343099,0.276331131,0.38473341,0.3918128655,0.3799472296,0.4113562092,0.48,0.399077278,0.3175701653,0.2506780318,0.5431588613,0.5445598688,0.5585325639,0.472743521,0.476806904,0.4859098229
Kyrgyz,kir,cyrl,0.4949562238,0.4816909509,0.4615045548,0.5019781089,0.529392425,0.5009511731,0.5521260522,0.06417112299,0.4025735294,0.4846655166,0.465946106,0.5055555556,0.5198088619,0.4335816263,0.5838808891,0.5501747892,0.5455764075,0.5549821085,0.3969123506,0.4364603828,0.3841579448,0.5001319145,0.4743029896,0.4788957055,0.4991204925,0.7053664921,0.6675729115,0.4213729977,0.3869035834,0.6198682766,0.5480923373,0.6471271488,0.550761944,0.5404817665,0.5493683054
Turkish,tur,latn,0.6478813439,0.5859024327,0.5458136033,0.6315105436,0.6163726478,0.5812548932,0.6512065957,,0.4269002511,0.5873829692,0.5461285554,0.6318179591,0.5628674892,0.5126853937,0.6232092413,0.578064193,0.51808692,0.6397437174,0.4213400749,0.5715924054,0.5402266695,0.6117212769,0.6025754648,0.559312356,0.6503295415,0.6157299399,0.7313962087,0.6035013355,0.561306924,0.6441096779,0.5937947657,0.7059274615,0.5742412601,0.5207085481,0.6405761112
Indonesian,ind,latn,0.3847213115,0.2430144809,0.2529917726,0.2543459499,0.3707450732,0.362219614,0.3845528455,,0.8175,0.2458665034,0.2541899441,0.2607513594,0.75126968,0.7293360434,0.7964473243,0.2691854991,0.2738927739,0.2585056704,0.8159663866,0.2859908136,0.3019105745,0.2992305686,0.228101824,0.230647986,0.248366416,0.4781852775,0.5800142248,0.5329295154,0.5046865396,0.8026699574,0.7925548839,0.8285963798,0.2688477952,0.2784332232,0.2648435411
Hindi,hin,deva,0.4219199315,0.4849628171,0.4522128958,0.4960015861,0.5501488613,0.5361605277,0.5665527359,0.05324773414,0.602456874,0.4931053203,0.4775738077,0.5026860587,0.7184910452,0.7055353241,0.7140965517,0.6226826609,0.6541367952,0.6206235791,0.6042209484,0.3242572983,0.3026378849,0.3812000507,0.4693748017,0.4358362401,0.4814563983,0.6832192989,0.8529644269,0.5690519819,0.5461675699,0.7142278481,0.7267748479,0.7046720087,0.618118888,0.6377899045,0.6262195516
