Language,lang code,script,BoundlessBPE,BPE,,,BPE-dropout,,,H-Nets,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SSLM,SuperBPE,,Unigram,,,WordPiece,,
,,,v10000,v5000,v10000,v20000,v5000,v10000,v20000,best_model,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,highest_step,v10000,v25000,v5000,v10000,v20000,v5000,v10000,v20000
Finnish,fin,latn,0.5041758846545744,0.5736813132500149,0.5096628125708952,0.4552951562066306,0.5808545392204209,0.530452838697794,0.4849344006568425,0.4528394175380604,0.44225197652947945,0.5710191313915658,0.5090593106010688,0.45553158368092417,0.5014285477398955,0.46282852726352586,0.42818305054886474,0.5553210123654884,0.4921551415910601,0.4401801140156985,0.4397421116894896,0.5789593398590672,0.5159840672942413,0.4631768737407767,0.6877799658269335,0.638581114008839,0.5869760725852445,0.5164835853767579,0.48381843068099734,0.5159988229736372,0.44615172732704633,0.5317088393950705,0.48044033211319126,0.43973061884801723,0.5562312124216723,0.4921619025090629,0.4399660950052755
Hungarian,hun,latn,0.48224509079434685,0.5215626098803654,0.4652932892861305,0.4179048298174768,0.5254173299068913,0.4786372475171323,0.43891060055384107,0.3973299530711332,0.36190627759586624,0.5202355371528702,0.46451479392349704,0.41836333755261335,0.49965240995561405,0.4503426826017152,0.4105083943371897,0.4950619126278006,0.4392637958454056,0.3942716937860244,0.3608484477210755,0.5246528562332585,0.46843188252659673,0.42104598764236106,0.55620509889896,0.49880858084320107,0.44969090795787314,0.4666089915183494,0.46119754635268256,0.5951506425653911,0.5221244013753473,0.5028166543664269,0.4507322919645239,0.40812351908973515,0.49452462283275134,0.4391866683153915,0.3943946436684647
Malayalam,mal,mlym,0.47000515974759066,0.5524095778552637,0.48520900916284004,0.4315017400042192,0.5534625767666699,0.5040276842705338,0.4627574040586411,0.2567699894144768,0.5906844567239204,0.5570983730303958,0.4902094557282246,0.4368986461718187,0.5392906505536699,0.4790453850105588,0.43239960617672346,0.5579542380057247,0.4889738829209443,0.4344156829954446,0.5909778782063321,0.5588134797277243,0.4931374580211375,0.4404285310407759,0.7626687228191364,0.7520939417594006,0.7318985844626485,0.5242857884193041,0.44959642615366274,0.4398299512281878,0.3779677323961847,0.5326689480887903,0.47067016198336376,0.42173556640150683,0.5530726611831622,0.4829955554461841,0.42848200629176997
Tamil,tam,taml,0.49003951370464643,0.551930276139489,0.4861449810484475,0.43481833524877334,0.5683955374918502,0.5170252722830649,0.4744442886360434,0.30237713654263754,0.5593442063913701,0.5556216283711946,0.4893231075609472,0.4381117163456092,0.5261964425075688,0.4675892116963595,0.424435360714222,0.5537841549583189,0.4858667079757847,0.43332781695671396,0.5590534406177748,0.5563548499692649,0.49255781995768205,0.44108937938729653,0.7491270784513142,0.7306519636920498,0.7042052464435902,0.5426833140053301,0.47385744894641607,0.6091665386292722,0.5349792602504169,0.5283527328365242,0.46745552417008784,0.421449667654007,0.5514002004916837,0.48304344328989757,0.4307557677349252
Telugu,tel,telu,0.5024484041803199,0.5693725009802401,0.4989904261046061,0.44362952099673925,0.5793304428060497,0.5260716619423821,0.48121805634486264,0.2989344504827659,0.5532653521358171,0.568808392904299,0.5004347873991786,0.44550058286857,0.5190622031215851,0.45966061381918466,0.4147916281013571,0.576564128483637,0.49985917202501223,0.4424395143529381,0.5532728613338128,0.5096708060929742,0.4457523805369,0.3952427689411461,0.7208121338450068,0.6952830477870034,0.6672135362082906,0.4968692280697579,0.4636171348358548,0.5638534791389261,0.49142082604035453,0.5157972644545328,0.45176018662866774,0.40413951033948925,0.5759270955582279,0.49872479376054635,0.44067699475089106
Kyrgyz,kir,cyrl,0.4991413716076187,0.56732489996017,0.499517948066807,0.44693834750814354,0.5831909418417429,0.5336144263634981,0.4896444226610512,0.355583815933401,0.5465119890422061,0.5679596914778188,0.49979077713007114,0.4475610667972219,0.5222073885559039,0.46688322925377745,0.4268790370472442,0.5576188107265603,0.49091926446089723,0.44048722042608446,0.5449756892956352,0.5714535897745754,0.5052743660374063,0.453333725948712,0.727871364951067,0.6945198680480672,0.6527485120590923,0.4762366885667337,0.5156575104141486,0.5420574877139916,0.4672339883799574,0.5448856224703528,0.484679469747655,0.43906698335217553,0.556956096702088,0.49015597495308366,0.43974423125452056
Turkish,tur,latn,0.5142575518170277,0.5763317373852058,0.51183255062556,0.4601139352244859,0.5850450477230266,0.5370869635596893,0.49436414959742675,0.4590355531135073,0.4878694786712177,0.5774667215998048,0.5125001445791361,0.46048844810300826,0.5534919388054881,0.4979688096740606,0.4538156448506539,0.5632132240252945,0.49908779272983916,0.44893275798386856,0.48634983402840976,0.5788147751774565,0.5155152387711464,0.4650277893941576,0.7083000923026045,0.6676832368171604,0.6186466578666114,0.5245595496134435,0.5058079829009144,0.5540094361407956,0.5165079973643494,0.5564862673758626,0.49696531001114375,0.44937560095395834,0.5619841003338314,0.498014584258314,0.4479435693702282
Mongolian,mon,cyrl,0.48957350610497447,0.588505775556683,0.5054576041736524,0.4502549437045232,0.5846404869898915,0.5276742282172311,0.48255025582284256,0.43624009187180757,0.5305885791852835,0.5882371599964819,0.5051424727161482,0.45069584843357474,0.5743097074898048,0.49916668866673714,0.4491421771193982,0.6178894290900792,0.5045509277635165,0.44489787443212886,0.5285682184282218,0.593049922879297,0.51096912654088,0.45588991989156824,0.7054608309506607,0.6559037275100955,0.6074234245413802,0.4202051318811977,0.47391403662516013,0.5333596336425949,0.4949847938818286,0.5744443491510031,0.49618403980383735,0.44406965585260877,0.6200335473943055,0.5050855854707199,0.44421798462174394
Indonesian,ind,latn,0.5003649131784589,0.566962735866383,0.5035214929176062,0.45487380446721154,0.5667209331512989,0.5276198558630587,0.49113920345375967,0.4621650197610914,0.48803401170852106,0.5643433943906327,0.5017637569669291,0.45413183612751346,0.544159843798819,0.49018038129091746,0.4516413643976998,0.5516346031623559,0.4895005176823907,0.4451631277023704,0.48723311207136905,0.5707505971596987,0.507507199075239,0.458334557059643,0.6660255535370121,0.6103905252118504,0.5578337797701034,0.5045318663197242,0.4690532884277045,0.57218647767105,0.5238499263881228,0.5489349125247251,0.48862468186885644,0.4449331035121369,0.5517918386576202,0.4895445736238128,0.445153074935729
