Language,lang code,script,BoundlessBPE,BPE,,,,BPE-dropout,,,H-Nets,Morfessor,MorphBPE,,,MorphULM,,,MorphWP,,,MYTE,Pathpiece,,,PickyBPE,,,SaGe,SSLM,SuperBPE,,Unigram,,,WordPiece,,
,,,v10000,v5000,v10000,v20000,v30000,v5000,v10000,v20000,best_model,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,v5000,v10000,v20000,v5000,v10000,v20000,v10000,highest_step,v10000,v25000,v5000,v10000,v20000,v5000,v10000,v20000
Finnish,fin,latn,8565,4345,8750,17423,25320,4363,8802,17354,72101,61794,4347,8848,17595,4553,9229,17962,4193,8528,16950,63366,4315,8552,16715,4457,8967,17904,8847,16308,9367,22694,4539,9121,17725,4177,8465,16702
Hungarian,hun,latn,8544,4333,8742,17243,24561,4347,8821,17111,72012,52924,4275,8715,17213,4496,9101,17385,4158,8449,16755,53706,4314,8666,16960,4440,8963,17879,8743,15441,8730,21110,4465,8993,17372,4183,8472,16710
Malayalam,mal,mlym,8026,4493,9054,17895,25564,4516,9143,17680,24415,51717,4284,8608,16900,4441,8949,17294,4113,8357,16598,51729,4484,9017,17677,4649,9302,18402,8236,7747,8009,19402,4564,9249,18038,4283,8803,17501
Tamil,tam,taml,8689,4482,9097,17835,24962,4506,9163,17526,22334,45040,4320,8842,17316,4452,9095,17329,4148,8570,16997,44991,4469,9063,17704,4655,9372,18477,7969,8467,8584,20983,4571,9251,17768,4283,8836,17453
Telugu,tel,telu,8768,4293,8782,17320,24569,4321,8912,17321,31118,47622,4227,8651,17050,4457,9103,17495,3839,8240,16566,47570,4302,8802,17321,4529,9151,18057,8177,9893,8258,19828,4474,9169,17809,3870,8365,16893
Kyrgyz,kir,cyrl,8584,4458,9014,17645,24793,4491,9146,17678,45912,44685,4404,8945,17497,4621,9300,17610,4251,8648,16959,45338,4401,8871,17159,4649,9457,18796,8824,12501,8461,20396,4673,9369,18029,4294,8749,17195
Turkish,tur,latn,8673,4522,9102,17897,25346,4542,9208,17845,59097,52260,4408,8941,17588,4619,9357,18097,4152,8429,16823,53319,4507,9038,17578,4636,9379,18668,9051,14878,8461,20319,4693,9432,18312,4203,8554,17091
Mongolian,mon,cyrl,9017,3216,7842,16624,23732,3216,7874,16392,58953,44198,3181,7800,16501,3276,8034,16627,2123,6670,15287,45392,3209,7747,16079,4568,9295,18374,875,16757,7368,19627,3299,8005,16730,2105,6695,15505
Indonesian,ind,latn,8591,4570,8988,17038,23102,4619,9222,17383,51075,39733,4562,9000,17022,4663,9259,16916,4257,8359,15554,40064,4574,9010,17039,4724,9453,18516,9117,15404,7928,18515,4645,9249,17103,4263,8363,15536
Sanskrit,san,deva,8234,2967,7020,15162,22754,2968,7028,15081,54962,71587,2993,7164,15366,2996,7281,15594,1991,6200,14466,71576,2974,7019,15026,4055,8217,16531,8705,14835,6688,17589,3183,7465,15942,1929,6105,14378
Hindi,hin,deva,8442,4355,8591,15769,20488,4422,8845,15996,34904,27981,4353,8596,15876,4558,9137,15629,4215,8430,15690,28010,4388,8666,15919,4563,9087,16978,8036,10139,7929,19244,4516,9019,16042,4213,8442,15656
Sindhi,snd,arab,8529,3287,7637,15681,21864,3293,7706,15613,91485,38562,3274,7666,15796,3431,8045,16070,2299,6714,15138,38533,3289,7650,15610,4342,8805,17172,8062,24194,7958,20633,3397,7889,16045,2275,6702,15123
Croatian,hrv,latn,8918,4291,8976,18013,25855,4300,9021,17779,73516,55391,4251,8929,17927,4488,9307,18068,4070,8584,17260,56252,4265,8868,17525,4521,9253,18498,448,17143,9294,22840,4490,9281,18064,4081,8615,17338
Russian,rus,cyrl,8801,4373,8929,17792,25686,4400,9024,17758,71024,57563,4325,8845,17587,4658,9402,18085,4202,8553,17044,58360,4354,8811,17348,4539,9250,18552,9171,15132,9224,22677,4640,9418,18223,4249,8682,17320
Persian,fas,arab,8092,4046,8345,15204,19148,4098,8511,15136,57056,27912,4048,8403,15287,4265,8750,14455,3713,8015,15450,27885,4066,8362,15255,4439,8969,16890,8311,14535,8963,21924,4213,8637,14957,3706,7973,15439
English,eng,latn,8867,4341,8770,16601,22178,4361,8912,16605,59855,,,,,,,,,,,,4337,8774,16524,4591,9242,17942,9010,14731,9287,22564,4403,8891,16291,4090,8360,15078
Swedish,swe,latn,8650,3956,8293,16362,22839,3970,8348,16220,58507,41056,4008,8490,16751,4170,8800,16741,3654,7977,15894,41882,3959,8205,15928,4363,8817,17298,8522,16018,8781,21658,4024,8363,16111,3600,7782,15506
Hebrew,heb,hebr,8577,4042,8578,17324,24667,4047,8595,17111,65772,49790,4038,8639,17378,4095,8552,16411,3793,8374,17166,49759,4055,8577,17197,4448,9067,18130,8901,13443,7563,18448,3986,8223,16252,3781,8349,17086
